Hex,Genotype,Numeric,Binary,R,Y,W,S,Color
00,rryyWWss,0 - 0 - 0 - 0,00 - 00 - 00 - 00,00,00,00,00,White
01,rryyWWSs,0 - 0 - 0 - 1,00 - 00 - 00 - 01,00,00,00,01,White
03,rryyWWSS,0 - 0 - 0 - 2,00 - 00 - 00 - 11,00,00,00,11,White
04,rryyWwss,0 - 0 - 1 - 0,00 - 00 - 01 - 00,00,00,01,00,White (seed)
05,rryyWwSs,0 - 0 - 1 - 1,00 - 00 - 01 - 01,00,00,01,01,White
07,rryyWwSS,0 - 0 - 1 - 2,00 - 00 - 01 - 11,00,00,01,11,White
0c,rryywwss,0 - 0 - 2 - 0,00 - 00 - 11 - 00,00,00,11,00,Purple
0d,rryywwSs,0 - 0 - 2 - 1,00 - 00 - 11 - 01,00,00,11,01,Purple
0f,rryywwSS,0 - 0 - 2 - 2,00 - 00 - 11 - 11,00,00,11,11,Purple
10,rrYyWWss,0 - 1 - 0 - 0,00 - 01 - 00 - 00,00,01,00,00,Yellow
11,rrYyWWSs,0 - 1 - 0 - 1,00 - 01 - 00 - 01,00,01,00,01,Yellow
13,rrYyWWSS,0 - 1 - 0 - 2,00 - 01 - 00 - 11,00,01,00,11,Yellow
14,rrYyWwss,0 - 1 - 1 - 0,00 - 01 - 01 - 00,00,01,01,00,White
15,rrYyWwSs,0 - 1 - 1 - 1,00 - 01 - 01 - 01,00,01,01,01,White
17,rrYyWwSS,0 - 1 - 1 - 2,00 - 01 - 01 - 11,00,01,01,11,White
1c,rrYywwss,0 - 1 - 2 - 0,00 - 01 - 11 - 00,00,01,11,00,Purple
1d,rrYywwSs,0 - 1 - 2 - 1,00 - 01 - 11 - 01,00,01,11,01,Purple
1f,rrYywwSS,0 - 1 - 2 - 2,00 - 01 - 11 - 11,00,01,11,11,Purple
30,rrYYWWss,0 - 2 - 0 - 0,00 - 11 - 00 - 00,00,11,00,00,Yellow (seed)
31,rrYYWWSs,0 - 2 - 0 - 1,00 - 11 - 00 - 01,00,11,00,01,Yellow
33,rrYYWWSS,0 - 2 - 0 - 2,00 - 11 - 00 - 11,00,11,00,11,Yellow
34,rrYYWwss,0 - 2 - 1 - 0,00 - 11 - 01 - 00,00,11,01,00,Yellow
35,rrYYWwSs,0 - 2 - 1 - 1,00 - 11 - 01 - 01,00,11,01,01,Yellow
37,rrYYWwSS,0 - 2 - 1 - 2,00 - 11 - 01 - 11,00,11,01,11,Yellow
3c,rrYYwwss,0 - 2 - 2 - 0,00 - 11 - 11 - 00,00,11,11,00,White
3d,rrYYwwSs,0 - 2 - 2 - 1,00 - 11 - 11 - 01,00,11,11,01,White
3f,rrYYwwSS,0 - 2 - 2 - 2,00 - 11 - 11 - 11,00,11,11,11,White
40,RryyWWss,1 - 0 - 0 - 0,01 - 00 - 00 - 00,01,00,00,00,Red
41,RryyWWSs,1 - 0 - 0 - 1,01 - 00 - 00 - 01,01,00,00,01,Pink
43,RryyWWSS,1 - 0 - 0 - 2,01 - 00 - 00 - 11,01,00,00,11,White
44,RryyWwss,1 - 0 - 1 - 0,01 - 00 - 01 - 00,01,00,01,00,Red
45,RryyWwSs,1 - 0 - 1 - 1,01 - 00 - 01 - 01,01,00,01,01,Pink
47,RryyWwSS,1 - 0 - 1 - 2,01 - 00 - 01 - 11,01,00,01,11,White
4c,Rryywwss,1 - 0 - 2 - 0,01 - 00 - 11 - 00,01,00,11,00,Red
4d,RryywwSs,1 - 0 - 2 - 1,01 - 00 - 11 - 01,01,00,11,01,Pink
4f,RryywwSS,1 - 0 - 2 - 2,01 - 00 - 11 - 11,01,00,11,11,Purple
50,RrYyWWss,1 - 1 - 0 - 0,01 - 01 - 00 - 00,01,01,00,00,Orange
51,RrYyWWSs,1 - 1 - 0 - 1,01 - 01 - 00 - 01,01,01,00,01,Yellow
53,RrYyWWSS,1 - 1 - 0 - 2,01 - 01 - 00 - 11,01,01,00,11,Yellow
54,RrYyWwss,1 - 1 - 1 - 0,01 - 01 - 01 - 00,01,01,01,00,Red
55,RrYyWwSs,1 - 1 - 1 - 1,01 - 01 - 01 - 01,01,01,01,01,Pink
57,RrYyWwSS,1 - 1 - 1 - 2,01 - 01 - 01 - 11,01,01,01,11,White
5c,RrYywwss,1 - 1 - 2 - 0,01 - 01 - 11 - 00,01,01,11,00,Red
5d,RrYywwSs,1 - 1 - 2 - 1,01 - 01 - 11 - 01,01,01,11,01,Pink
5f,RrYywwSS,1 - 1 - 2 - 2,01 - 01 - 11 - 11,01,01,11,11,Purple
70,RrYYWWss,1 - 2 - 0 - 0,01 - 11 - 00 - 00,01,11,00,00,Orange
71,RrYYWWSs,1 - 2 - 0 - 1,01 - 11 - 00 - 01,01,11,00,01,Yellow
73,RrYYWWSS,1 - 2 - 0 - 2,01 - 11 - 00 - 11,01,11,00,11,Yellow
74,RrYYWwss,1 - 2 - 1 - 0,01 - 11 - 01 - 00,01,11,01,00,Orange
75,RrYYWwSs,1 - 2 - 1 - 1,01 - 11 - 01 - 01,01,11,01,01,Yellow
77,RrYYWwSS,1 - 2 - 1 - 2,01 - 11 - 01 - 11,01,11,01,11,Yellow
7c,RrYYwwss,1 - 2 - 2 - 0,01 - 11 - 11 - 00,01,11,11,00,Red
7d,RrYYwwSs,1 - 2 - 2 - 1,01 - 11 - 11 - 01,01,11,11,01,Pink
7f,RrYYwwSS,1 - 2 - 2 - 2,01 - 11 - 11 - 11,01,11,11,11,White
c0,RRyyWWss,2 - 0 - 0 - 0,11 - 00 - 00 - 00,11,00,00,00,Black
c1,RRyyWWSs,2 - 0 - 0 - 1,11 - 00 - 00 - 01,11,00,00,01,Red (seed)
c3,RRyyWWSS,2 - 0 - 0 - 2,11 - 00 - 00 - 11,11,00,00,11,Pink
c4,RRyyWwss,2 - 0 - 1 - 0,11 - 00 - 01 - 00,11,00,01,00,Black
c5,RRyyWwSs,2 - 0 - 1 - 1,11 - 00 - 01 - 01,11,00,01,01,Red
c7,RRyyWwSS,2 - 0 - 1 - 2,11 - 00 - 01 - 11,11,00,01,11,Pink
cc,RRyywwss,2 - 0 - 2 - 0,11 - 00 - 11 - 00,11,00,11,00,Black
cd,RRyywwSs,2 - 0 - 2 - 1,11 - 00 - 11 - 01,11,00,11,01,Red
cf,RRyywwSS,2 - 0 - 2 - 2,11 - 00 - 11 - 11,11,00,11,11,Pink
d0,RRYyWWss,2 - 1 - 0 - 0,11 - 01 - 00 - 00,11,01,00,00,Orange
d1,RRYyWWSs,2 - 1 - 0 - 1,11 - 01 - 00 - 01,11,01,00,01,Orange
d3,RRYyWWSS,2 - 1 - 0 - 2,11 - 01 - 00 - 11,11,01,00,11,Yellow
d4,RRYyWwss,2 - 1 - 1 - 0,11 - 01 - 01 - 00,11,01,01,00,Red
d5,RRYyWwSs,2 - 1 - 1 - 1,11 - 01 - 01 - 01,11,01,01,01,Red
d7,RRYyWwSS,2 - 1 - 1 - 2,11 - 01 - 01 - 11,11,01,01,11,White
dc,RRYywwss,2 - 1 - 2 - 0,11 - 01 - 11 - 00,11,01,11,00,Black
dd,RRYywwSs,2 - 1 - 2 - 1,11 - 01 - 11 - 01,11,01,11,01,Red
df,RRYywwSS,2 - 1 - 2 - 2,11 - 01 - 11 - 11,11,01,11,11,Purple
f0,RRYYWWss,2 - 2 - 0 - 0,11 - 11 - 00 - 00,11,11,00,00,Orange
f1,RRYYWWSs,2 - 2 - 0 - 1,11 - 11 - 00 - 01,11,11,00,01,Orange
f3,RRYYWWSS,2 - 2 - 0 - 2,11 - 11 - 00 - 11,11,11,00,11,Yellow
f4,RRYYWwss,2 - 2 - 1 - 0,11 - 11 - 01 - 00,11,11,01,00,Orange
f5,RRYYWwSs,2 - 2 - 1 - 1,11 - 11 - 01 - 01,11,11,01,01,Orange
f7,RRYYWwSS,2 - 2 - 1 - 2,11 - 11 - 01 - 11,11,11,01,11,Yellow
fc,RRYYwwss,2 - 2 - 2 - 0,11 - 11 - 11 - 00,11,11,11,00,Blue
fd,RRYYwwSs,2 - 2 - 2 - 1,11 - 11 - 11 - 01,11,11,11,01,Red
ff,RRYYwwSS,2 - 2 - 2 - 2,11 - 11 - 11 - 11,11,11,11,11,White